BCE,BST1,BSTA,BST5,KWEA,KWEAD,KWEP,KWEPARKING,THEWING,THELEVEL
38.12,12,7.5,0,100,0.43,11,0.23,17.14,23.84
35.78,10,7.5,1,95,0.43,18,0.23,17.14,20.93
35.54,13,7.5,7,87,0.43,28,0.23,15.13,20.02
34.5,11,7.5,9,84,0.43,37,0.23,17.3,21.53
34.18,12,7.5,16,83,0.43,33,0.23,14.98,19.72
35.14,11,7.5,21,80,0.43,35,0.23,15.64,19.32
31.84,11,7.5,23,82,0.43,51,0.23,21.47,17.31
29.35,11,7.5,31,82,0.43,19,0.23,17.85,18.92
30.4,12,5,36,81,0.43,24,0.23,19.31,16.91
31.44,11,7.5,37,81,0.43,29,0.23,20.66,17.61
29.11,11,7.5,41,84,0.43,29,0.23,16.04,17.41
29.67,11,7.5,46,82,0.43,31,0.23,16.84,17.51
26.14,11,7.5,46,81,0.43,32,0.23,20.41,15.4
26.62,11,7.5,45,80,0.43,32,0.23,17.09,15.5
25.49,10,7.5,48,81,0.43,33,0.23,19.15,16.2
25.01,10,5,47,83,0.43,33,0.23,18.4,13.99
24.29,10,7.5,47,80,0.43,36,0.23,20.96,18.01
23.16,11,7.5,45,80,0.43,35,0.23,19.41,12.89
21.95,10,7.5,45,83,0.43,34,0.23,17.14,10.37
21.39,11,10,43,81,0.43,33,0.23,18.15,10.37
21.15,10,7.5,41,79,0.43,26,0.23,18.5,11.48
21.31,10,7.5,43,79,0.43,25,0.23,17.75,15.1
20.35,11,7.5,42,80,0.43,30,0.23,16.59,14.9
20.83,10,10,44,81,0.43,32,0.23,15.29,15.1
21.71,11,7.5,41,78,0.43,32,0.23,15.39,15
21.15,10,7.5,43,80,33.69,33,0.23,14.88,15.7
20.75,10,10,41,82,34.29,33,0.23,16.14,15.9
21.07,10,7.5,43,78,32.89,32,0.23,14.93,15.6
21.39,11,7.5,41,79,34.8,33,0.23,13.07,15.5
20.43,10,10,41,76,32.79,31,0.23,13.68,15.6
20.83,10,7.5,41,78,34.29,37,0.23,12.87,15.4
21.23,11,10,43,78,32.89,37,0.23,11.77,15.4
23.48,10,7.5,41,76,34.7,35,0.23,11.32,15.3
23.56,10,10,43,79,33.09,28,0.23,10.21,15.7
23.48,10,7.5,41,80,34.29,30,0.23,10.11,15.6
21.23,11,10,42,80,32.79,36,0.23,10.41,15.4
20.83,10,7.5,42,76,34.19,34,0.23,8.7,15.6
20.51,10,10,42,79,32.38,32,0.23,9.61,15.5
21.15,10,10,42,77,34.6,30,0.23,8.5,15.6
20.59,10,7.5,42,77,31.88,32,0.23,8.35,15.6
20.83,10,10,41,78,34.49,31,0.23,8.9,15.9
20.99,11,10,42,79,32.38,32,0.23,7.3,15.8
20.75,10,7.5,42,81,33.59,32,0.23,8.9,15.8
20.51,10,10,42,77,31.88,31,0.23,6.89,15.7
21.07,10,10,41,78,33.19,31,0.23,7.4,15.3
21.23,11,7.5,42,88,32.48,24,0.23,7.5,15.1
21.39,10,10,42,87,33.19,23,0.23,7.75,15.6
20.99,10,10,43,87,31.48,29,0.23,9.05,15.5
20.19,10,7.5,43,88,33.29,35,0.23,7.7,14.5
21.07,11,12.5,40,91,32.18,76,0.23,8.9,10.07
20.19,10,7.5,42,94,34.9,77,0.23,7.55,12.99
21.55,11,12.5,44,91,33.29,76,0.23,9.1,9.77
38.92,11,12.5,44,96,33.79,75,0.23,8.9,9.07
37.87,10,15,43,112,34.19,73,0.23,9.41,13.89
35.78,11,17.5,50,119,33.49,77,0.23,9.46,13.19
38.76,29,12.5,62,121,31.08,85,0.23,9.61,14.39
38.2,33,20,63,145,31.98,92,0.23,9.56,18.31
39.56,35,15,58,178,35,100,0.23,10.56,24.85
40.61,37,17.5,59,186,34.8,96,0.23,10.26,25.65
60.95,38,15,59,216,38.01,103,0.23,9.2,35.7
76.79,40,15,55,240,39.32,107,0.23,9.56,36.3
97.29,37,15,40,248,42.94,106,0.23,9.56,37.51
94.96,41,12.5,37,260,43.54,105,0.23,10.21,40.73
87.32,37,17.5,45,263,43.34,96,0.23,10.41,42.53
98.01,38,15,28,260,39.82,80,0.23,9.56,43.74
82.17,38,20,32,244,41.23,79,0.23,12.37,40.02
90.62,35,20,17,244,33.89,57,0.23,13.63,39.12
86.44,36,17.5,15,245,28.36,37,0.23,12.27,37.91
80.33,37,17.5,11,257,30.68,45,0.23,16.04,38.51
77.75,32,12.5,6,267,29.17,42,0.23,15.18,37.81
73.89,28,15,3,283,30.78,37,0.23,12.47,38.11
90.94,28,12.5,1,276,33.19,29,0.23,12.22,39.32
88.04,32,17.5,1,261,30.37,33,0.23,11.72,40.32
