Time,1_Plant1,3_Plant1,6_Plant1
785,270.792,122.54545454545445,70.0
786,288.0,139.9999999999999,70.0
787,288.0000000000001,139.9999999999999,70.0
788,288.0,139.9999999999999,70.0
789,288.0,139.9999999999999,70.0
790,288.0,139.9999999999999,70.0
791,288.0000000000001,139.9999999999999,70.0
792,288.0000000000001,139.9999999999999,95.71428571428572
793,270.79200000000014,122.54545454545445,70.0
794,253.58400000000017,105.09090909090904,70.0
795,253.58400000000017,105.09090909090904,70.0
796,236.3760000000002,87.63636363636363,70.0
797,253.58400000000017,105.09090909090901,70.0
798,270.79200000000014,122.54545454545445,70.0
799,288.0000000000001,139.9999999999999,95.71428571428572
800,270.79200000000014,122.54545454545445,70.0
801,288.0,139.99999999999991,70.0
802,288.0000000000001,139.99999999999991,70.0
803,288.0000000000001,139.9999999999999,70.0
804,288.0000000000001,139.9999999999999,70.0
805,288.0,139.9999999999999,70.0
806,270.792,122.54545454545445,70.0
807,270.79200000000014,115.23342605314869,70.0
808,288.0000000000001,132.6879715076941,70.0
809,288.0,139.9999999999999,70.0
810,270.792,122.54545454545445,70.0
811,288.0000000000001,139.9999999999999,70.0
812,288.0,139.99999999999991,70.0
813,288.0000000000001,139.9999999999999,70.0
814,288.0000000000001,139.9999999999999,70.0
815,288.0,139.9999999999999,70.0
816,288.0000000000001,139.9999999999999,95.71428571428572
817,270.79200000000014,122.54545454545445,70.0
818,259.34757806160025,105.09090909090901,70.0
819,242.13957806160028,87.63636363636363,70.0
820,259.34757806160025,105.09090909090904,70.0
821,270.79200000000014,122.54545454545445,70.0
822,288.0000000000001,139.9999999999999,70.0
823,288.0000000000001,139.9999999999999,70.0
824,288.0000000000001,139.9999999999999,70.0
825,288.0,139.99999999999991,70.0
826,288.0000000000001,139.99999999999991,70.0
827,288.0000000000001,139.9999999999999,70.0
828,288.0,139.99999999999991,70.0
829,288.0000000000001,139.9999999999999,70.0
830,274.9492552535998,122.54545454545445,70.0
831,288.0,139.9999999999999,70.0
832,288.0000000000001,139.9999999999999,70.0
833,288.0,139.9999999999999,70.0
