Time,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
2709,454.1,50.0,0.0,175.3432348389477,2.25,34.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,2.207504388463761,0.0
2710,478.0,100.0,0.0,290.9432348389477,4.5,51.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,25.0,74.20750438846376,0.0
2711,454.1,50.0,0.0,175.3432348389477,2.25,34.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,2.207504388463761,0.0
2712,430.20000000000005,0.0,0.0,59.743234838947686,0.0,17.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.04189186846361,0.0,0.0,0.0,0.0,0.0
2713,424.3150699589478,0.0,0.0,0.0,0.0,0.0,149.40000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0418918684636,0.0,0.0,0.0,0.0,0.0
2714,448.21506995894777,0.0,0.0,0.0,0.0,0.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2715,472.1150699589478,50.0,0.0,115.60000000000001,2.25,17.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2716,449.4997693174115,0.0,0.0,0.0,0.0,0.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
2717,454.1,0.0,0.0,24.567088038947773,2.25,17.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,55.34812745846375,0.0
2718,478.0,50.0,0.0,140.16708803894778,4.5,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,127.34812745846375,0.0
2719,478.0,0.0,0.0,177.19233073894785,6.75,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,49.65900105846376,72.0,0.0
2720,454.1,0.0,0.0,182.12717388894777,9.0,51.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,24.65900105846376,0.0,0.0
2721,478.0,50.0,0.0,297.7271738889478,11.25,68.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,49.65900105846376,72.0,0.0
2722,454.1,0.0,0.0,182.12717388894777,9.0,51.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,24.65900105846376,0.0,0.0
2723,478.0,5.393163211536046,0.0,210.63918303741153,11.25,34.0,207.00000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,49.65900105846376,58.4321793,0.0
2724,478.0,0.0,0.0,95.03918303741153,9.0,17.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,72.0,0.0
2725,454.1,0.0,0.0,122.09414510894767,6.75,0.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
2726,478.0,50.0,0.0,237.69414510894768,9.0,17.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,25.0,71.30011423846376,0.0
2727,454.1,0.0,0.0,122.09414510894767,6.75,0.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
2728,478.0,0.0,0.0,98.46842093741151,9.0,17.0,207.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,72.0,0.0
2729,454.1,0.0,0.0,41.06741752894773,6.75,34.0,187.80000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,12.060326558463757,0.0,0.0
2730,478.0,50.0,0.0,156.66741752894774,9.0,51.0,207.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,37.06032655846376,72.0,0.0
2731,478.0,0.0,0.0,221.74887797894777,6.75,51.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,42.71358515846376,70.0617399,0.0
2732,454.1,0.0,0.0,173.22680852894769,4.5,34.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,17.713585158463758,0.0,0.0
2733,478.0,50.0,0.0,288.8268085289477,6.75,51.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,42.71358515846376,72.0,0.0
2734,454.1,0.0,0.0,173.22680852894769,4.5,34.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,17.713585158463758,0.0,0.0
2735,454.1,13.059467370000228,0.0,272.1219906589476,6.75,51.0,187.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,21.26704585846376,0.0
2736,478.0,63.05946737000022,0.0,387.7219906589476,9.0,68.0,206.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,25.0,93.26704585846376,0.0
2737,454.1,13.059467370000228,0.0,272.1219906589476,6.75,51.0,187.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,21.26704585846376,0.0
2738,430.20000000000005,50.0,0.0,156.52199065894757,4.5,34.0,168.40000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2739,406.30000000000007,0.0,0.0,40.921990658947564,2.25,17.0,149.2000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
