,Collectief,KWEA,Penta,Vegitec,LAGO,PTI,QUBUS
59,43.92746674,90.43643464,32.7153752,15.74643167,478.006898,195.5696201,13.08615008
60,41.59261792,85.62952412,30.97647558,14.90947156,720.6873231,185.1746319,12.39059023
61,40.03606646,82.42494677,29.8172199,14.35150332,230.423838,178.2447039,11.92688796
62,40.38196871,83.13707902,30.07483371,14.47549695,232.8751554,179.7846965,12.02993348
63,40.90081343,84.20525961,30.46124797,14.6614843,842.0275357,182.0946468,12.18449919
64,42.88976,88.30003788,31.94253378,15.37445077,351.7640505,190.9496425,12.77701351
65,44.44631146,91.50461523,33.10178946,15.93241901,232.8751554,197.8795704,13.24071578
66,47.47296477,97.73579026,35.35591668,17.01736638,226.7468619,211.3545436,14.14236667
67,48.25124483,99.33808787,35.93554774,17.29635205,718.2360057,214.8195268,14.3742191
68,48.85657376,100.5843193,36.3863719,17.51334091,723.1386406,217.5145138,14.55454876
69,48.25124483,99.33808787,35.93554774,17.29635205,351.7640505,214.8195268,14.3742191
70,50.58607635,104.1449628,37.67443448,18.13330596,598.1214518,225.2144379,15.06977379
71,48.07828506,98.98200394,35.8067344,17.23435214,471.8786044,214.0494921,14.32269376
72,0,65.43833761,0,0,721.9129818,77.07373611,0
73,0,65.43833761,0,0,476.7812393,77.07373611,0
74,0,65.43833761,0,0,350.5383919,77.07373611,0
75,0,65.43833761,0,0,840.801877,77.07373611,0
76,0,65.43833761,0,0,720.6873231,77.07373611,0
77,42.02500438,86.51970724,31.29849927,15.0644667,354.215368,187.0996611,12.51939971
78,42.11147994,86.69774031,31.36290273,15.0954651,720.6873231,187.4846592,12.54516109
79,35.45285304,72.98917658,26.40383056,12.70858461,844.4788531,157.8397643,10.56153222
80,28.36186562,58.39048315,21.12275403,10.16671827,232.8751554,126.2699558,8.449101612
81,24.64340781,50.7350436,18.35339919,8.833783643,230.423838,109.7149975,7.341359676
82,14.61224697,30.08321709,10.88260211,5.237969896,351.7640505,65.05523309,4.353040844
83,9.337242023,19.22320909,6.953994818,3.347068574,594.4444758,41.57036611,2.781597927
84,6.483539836,13.34810018,4.828674496,2.324118019,232.8751554,28.86538916,1.931469798
85,16.68765613,34.35600171,12.42828171,5.981930131,842.0275357,74.29516908,4.971312684
86,31.30203472,64.44360732,23.31247136,11.22066414,718.2360057,139.3598924,9.324988544
87,34.32867938,70.67476455,25.56659214,12.30560841,232.8751554,152.8348271,10.22663686
88,32.25325725,66.40195322,24.02090288,11.56164352,474.3299219,143.5948334,9.608361152
89,38.47950635,79.22035162,28.65795779,13.79353198,226.7468619,171.3147376,11.46318312
90,48.25124483,99.33808787,35.93554774,17.29635205,350.5383919,214.8195268,14.3742191
91,63.81684595,131.3840393,47.52816891,22.87606544,227.9725206,284.119191,19.01126756
92,77.13407382,158.8011134,57.44629392,27.64981714,596.8957932,343.4088654,22.97851757
93,84.3115541,173.5778755,62.79178679,30.22268808,598.1214518,375.3637491,25.11671472
94,92.61320803,190.6690496,68.97451808,33.19853522,840.801877,412.32357,27.58980723
95,97.97469286,201.7070996,72.96753204,35.1204365,355.4410267,436.1934543,29.18701282
96,0,65.43833761,0,0,839.5762183,77.07373611,0
97,0,65.43833761,0,0,720.6873231,77.07373611,0
98,0,65.43833761,0,0,473.1042631,77.07373611,0
99,0,65.43833761,0,0,230.423838,77.07373611,0
100,0,65.43833761,0,0,226.7468619,77.07373611,0
101,105.0656846,216.3058019,78.24861179,37.66230438,227.9725206,467.7632822,31.29944472
102,110.6001197,227.6999163,82.37043201,39.64620217,600.5727692,492.403159,32.9481728
103,113.4538167,233.5750144,84.49574847,40.66915086,599.3471106,505.1081128,33.79829939
104,117.258738,241.4084622,87.32949773,42.03307956,232.8751554,522.0480154,34.93179909
105,119.9394838,246.9274943,89.32600729,42.99403144,227.9725206,533.9829729,35.73040292
106,119.3341532,245.6812593,88.87518184,42.77704197,598.1214518,531.2879782,35.55007274
107,118.9017736,244.7910903,88.5531633,42.62204931,718.2360057,529.3629799,35.42126532
108,115.0103751,236.779606,85.6550093,41.22712158,478.006898,512.0380715,34.26200372
109,111.5513517,229.6582817,83.07887061,39.98718496,720.6873231,496.6381423,33.23154824
110,112.0702051,230.7264801,83.46529132,40.17317541,227.9725206,498.9481311,33.38611653
111,114.6644737,236.0674755,85.39739614,41.10312826,596.8957932,510.4980828,34.15895846
112,126.2521981,259.9239044,94.02745792,45.25691459,226.7468619,562.0878291,37.61098317
113,130.1435984,267.9353923,96.92561321,46.65184293,232.8751554,579.4127451,38.77024528
114,139.2235324,286.6288639,103.6879756,49.90667575,843.2531944,619.8375492,41.47519024
